Topic,Subtopic,AnswerKey,Preview,Answer,Region
Business Law,Collecting debts,230,"
				Sometimes a business is owed money either by an individual or by another business. The person or business that owes you money is called a debtor and you are called the creditor. If you have trouble getting the money you are owed, there are several steps you should follow.
Contact the debtor
First, always telephone or contact the debtor in person. The debtor may only need a friendly reminder of the money owed so you should always try to be on good terms with the people you do business with. If a phone call does not work, you can send the debtor a letter detailing what is owed. The letter serves as a formal notice of the debt and it may be required before you try other means of recovering","
				Sometimes a business is owed money either by an individual or by another business. The person or business that owes you money is called a debtor and you are called the creditor. If you have trouble getting the money you are owed, there are several steps you should follow.
Contact the debtor
First, always telephone or contact the debtor in person. The debtor may only need a friendly reminder of the money owed so you should always try to be on good terms with the people you do business with. If a phone call does not work, you can send the debtor a letter detailing what is owed. The letter serves as a formal notice of the debt and it may be required before you try other means of recovering your money.
Other options
If a phone call and a letter do not work, you have several options. You can hire a lawyer to try to collect the money on your behalf or you can take the debtor to Small Claims Court if the amount is within the limits of your province. Or, you can call a collection agency to take over recovery of the debt. If the collection agency recovers some or all the debt from the debtor, the agency will take a percentage of the money recovered as its fee. Finally, you can consider writing off the debt. Sometimes the amount of the debt is not worth the time, effort, and expense involved in collecting it.
If you have a security interest in the debtor’s assets
If you have loaned money and have taken the debtor’s assets as security, for example their car or equipment, you may be able to seize and sell the assets. This means you can take possession of the asset, sell it and take the money you are owed out of the proceeds. Any extra money from the sale of the asset must be returned to the debtor.
Debt collection is an important business matter. You should have a debt collection procedure in place to ensure your business does not experience cash flow problems.
For more information about debt collection while operating a business, contact your local government. For legal advice, consult a lawyer.
				Was your question answered?
			Sometimes a business is owed money either by an individual or by another business. The person or business that owes you money is called a debtor and you are called the creditor. If you have trouble getting the money you are owed, there are several steps you should follow.
Contact the debtor
First, always telephone or contact the debtor in person. The debtor may only need a friendly reminder of the money owed so you should always try to be on good terms with the people you do business with. If a phone call does not work, you can send the debtor a letter detailing what is owed. The letter serves as a formal notice of the debt and it may be required before you try other means of recovering your money.
Other options
If a phone call and a letter do not work, you have several options. You can hire a lawyer to try to collect the money on your behalf or you can take the debtor to Small Claims Court if the amount is within the limits of your province. Or, you can call a collection agency to take over recovery of the debt. If the collection agency recovers some or all the debt from the debtor, the agency will take a percentage of the money recovered as its fee. Finally, you can consider writing off the debt. Sometimes the amount of the debt is not worth the time, effort, and expense involved in collecting it.
If you have a security interest in the debtor’s assets
If you have loaned money and have taken the debtor’s assets as security, for example their car or equipment, you may be able to seize and sell the assets. This means you can take possession of the asset, sell it and take the money you are owed out of the proceeds. Any extra money from the sale of the asset must be returned to the debtor.
Debt collection is an important business matter. You should have a debt collection procedure in place to ensure your business does not experience cash flow problems.
For more information about debt collection while operating a business, contact your local government. For legal advice, consult a lawyer.
",British Columbia
Family Law,Common-law relationships,121,"
				When two people live together in a conjugal relationship and are not married, they may be considered to be living in a common-law relationship. If you are living in a common-law relationship, you will have a number of rights and obligations arising under family law, tax law, welfare and family benefits, and employee benefit plans. Different rules apply for each of these areas of law.
Family law issues
If you are considered to be living in a common-law relationship under family law, you may have an obligation to financially support your spouse if you separate. There are two ways for a common-law relationship to arise under family law.
First, a common-law relationship can legally arise wh","
				When two people live together in a conjugal relationship and are not married, they may be considered to be living in a common-law relationship. If you are living in a common-law relationship, you will have a number of rights and obligations arising under family law, tax law, welfare and family benefits, and employee benefit plans. Different rules apply for each of these areas of law.
Family law issues
If you are considered to be living in a common-law relationship under family law, you may have an obligation to financially support your spouse if you separate. There are two ways for a common-law relationship to arise under family law.
First, a common-law relationship can legally arise when two people have been living together in a conjugal relationship for a specific period of time. Second, a common-law relationship can also legally arise when two people have been living together in an ongoing relationship for any period and they have a child together.
For example, to be considered common-law under provincial family law, a couple must have been living together in a conjugal relationship:

in New Brunswick, for three continuous years, or one year and have a child;
in PEI,  for three continuous years; or have a child,
in Ontario, for three continuous years, or have a child and a have been living together in a relationship of some permanence;
in Manitoba, for three continuous years, or one year and have a child;
in Saskatchewan, Newfoundland and Labrador, Nova Scotia, Northwest Territories and Nunavut, for two continuous years; and
in British Columbia, for at least two continuous years, or for less than two continuous years if they have a child together.

In Alberta, common-law spouses are referred to as “adult interdependent partners” and are considered common-law when the couple has lived together for three years or more or has a child and live together.
Quebec is the only province that does not recognize common-law relationships.
Sometimes it may not be clear if two people have been living common-law. The law tries to decide whether two people have been living in a common-law relationship by looking at whether they cohabit. Incidents of cohabitation will include whether the couple lives together, whether one person was financially supporting the other, whether they have had a sexual relationship, and whether they shared household expenses and child raising duties.
 
Tax law issues
Under tax law, a common-law relationship legally arises when two people have been living in a conjugal relationship for 12 months or when two people have a child together. If you are considered to be a common-law spouse under tax law, you will have certain rights and obligations when you are filling out your yearly income tax return. For example, you may be able to claim a dependent spouse credit if you are financially supporting your common law spouse.
Welfare or social assistance and family benefits issues
If you are considered to be a common-law spouse for welfare and family benefits, you must include your common-law spouse’s income on your application for benefits. Under the welfare and family benefits rules, a common-law relationship legally arises when two people live together as a couple for any period, however short, and share financial responsibilities. Someone could become your common-law spouse on the day they move in with you under these rules.
Employee benefit plan issues
Finally, if you are considered to be a common-law spouse under your spouse’s employee benefit plan, you may be entitled to benefits such as prescription medication, life insurance and dental coverage. Employers can make their own rules for when a common-law relationship arises. Some employment benefit plans let common-law spouses share in the benefit plan if they have been living together for just six months. Others may require that spouses have lived together for one, three or five years.
Depending on the province where you live, the rules of a common-law relationship may be applied to same-sex relationships. An employment benefit plan that denies coverage to same-sex couples may be considered discrimination on the basis of sexual orientation and therefore unconstitutional under provincial human rights legislation.
If you need additional information about how living with someone can affect your legal rights, a lawyer can give you advice based on your individual situation.
				Was your question answered?
			When two people live together in a conjugal relationship and are not married, they may be considered to be living in a common-law relationship. If you are living in a common-law relationship, you will have a number of rights and obligations arising under family law, tax law, welfare and family benefits, and employee benefit plans. Different rules apply for each of these areas of law.
Family law issues
If you are considered to be living in a common-law relationship under family law, you may have an obligation to financially support your spouse if you separate. There are two ways for a common-law relationship to arise under family law.
First, a common-law relationship can legally arise when two people have been living together in a conjugal relationship for a specific period of time. Second, a common-law relationship can also legally arise when two people have been living together in an ongoing relationship for any period and they have a child together.
For example, to be considered common-law under provincial family law, a couple must have been living together in a conjugal relationship:

in New Brunswick, for three continuous years, or one year and have a child;
in PEI,  for three continuous years; or have a child,
in Ontario, for three continuous years, or have a child and a have been living together in a relationship of some permanence;
in Manitoba, for three continuous years, or one year and have a child;
in Saskatchewan, Newfoundland and Labrador, Nova Scotia, Northwest Territories and Nunavut, for two continuous years; and
in British Columbia, for at least two continuous years, or for less than two continuous years if they have a child together.

In Alberta, common-law spouses are referred to as “adult interdependent partners” and are considered common-law when the couple has lived together for three years or more or has a child and live together.
Quebec is the only province that does not recognize common-law relationships.
Sometimes it may not be clear if two people have been living common-law. The law tries to decide whether two people have been living in a common-law relationship by looking at whether they cohabit. Incidents of cohabitation will include whether the couple lives together, whether one person was financially supporting the other, whether they have had a sexual relationship, and whether they shared household expenses and child raising duties.
 
Tax law issues
Under tax law, a common-law relationship legally arises when two people have been living in a conjugal relationship for 12 months or when two people have a child together. If you are considered to be a common-law spouse under tax law, you will have certain rights and obligations when you are filling out your yearly income tax return. For example, you may be able to claim a dependent spouse credit if you are financially supporting your common law spouse.
Welfare or social assistance and family benefits issues
If you are considered to be a common-law spouse for welfare and family benefits, you must include your common-law spouse’s income on your application for benefits. Under the welfare and family benefits rules, a common-law relationship legally arises when two people live together as a couple for any period, however short, and share financial responsibilities. Someone could become your common-law spouse on the day they move in with you under these rules.
Employee benefit plan issues
Finally, if you are considered to be a common-law spouse under your spouse’s employee benefit plan, you may be entitled to benefits such as prescription medication, life insurance and dental coverage. Employers can make their own rules for when a common-law relationship arises. Some employment benefit plans let common-law spouses share in the benefit plan if they have been living together for just six months. Others may require that spouses have lived together for one, three or five years.
Depending on the province where you live, the rules of a common-law relationship may be applied to same-sex relationships. An employment benefit plan that denies coverage to same-sex couples may be considered discrimination on the basis of sexual orientation and therefore unconstitutional under provincial human rights legislation.
If you need additional information about how living with someone can affect your legal rights, a lawyer can give you advice based on your individual situation.
",British Columbia
Government and The Justice System,Freedom of Information: Accessing public records,715,"
				Public right to access government information
Generally, information produced or gathered by government offices and agencies is accessible to the public. Government information can be valuable for businesses, reporters, and people involved in lawsuits. Some information is easily accessible, such as legislation, Commission Reports, or court cases because it is published and distributed in libraries, government book stores, and online. However, some information is not readily available without requesting it, such as government salaries, internal memos, expenses, and reports on sensitive subject matters.
Generally, there are three main laws that regulate information requests. Municipal and","
				Public right to access government information
Generally, information produced or gathered by government offices and agencies is accessible to the public. Government information can be valuable for businesses, reporters, and people involved in lawsuits. Some information is easily accessible, such as legislation, Commission Reports, or court cases because it is published and distributed in libraries, government book stores, and online. However, some information is not readily available without requesting it, such as government salaries, internal memos, expenses, and reports on sensitive subject matters.
Generally, there are three main laws that regulate information requests. Municipal and provincial freedom of  information and protection of privacy legislation, regulate information held in municipal and provincial offices. The federal law, called the Access to Information Act, regulates information in federal offices. The procedure for requesting information is different for each level of government.
 
Provincial and municipal information
To request information from a provincial or municipal office, you must first write a letter to the Freedom of Information and Protection of Privacy Coordinator assigned to the government office from which you want to collect the information. To find out the name and mailing address of the Coordinator, you can call the government office directly or the Office of the Information and Privacy Commissioner in your province or territory. In your letter, state that you are making the request under The Freedom of Information and Protection of Privacy Act. The Coordinator has a limited amount of days, usually 30 to 60 days, to respond to your request.
If your request is denied, you can appeal to the Office of the Information and Privacy Commissioner by filling out forms available at that office.
 
Federal information
For federal offices, you have the option of making an informal request or a formal request. These requests are made pursuant to the Access to Information Act.
Informal request
To make an informal request for information, call the office you want information from and ask who in the office you should make the request to. Write a letter to this person requesting the information. If your informal request is denied, you make make a formal request.
Formal request
To make a formal request, you are required to fill out an Access to Information Form. A generic Access to Information Request form, which can be used for most federal offices, is available online from the Government of Canada website. There is no fee. Submit the request  to the Access to Information Coordinator assigned to the federal office or agency you want information from.
Complaints
If your request is denied, or if you have a complaint about the procedure, you can speak with someone at the Office of the Information Commissioner of Canada (OIC) to discuss your options. If you would like to make a complaint, you may do so for reasons, such as:

you believe you were improperly denied access to the information requested;
the request process is taking too long;
the request fees are too high;
you did not receive the information in your official language of choice; or
for other reasonable grounds.

Except in the case where your request is taking too long, you must submit your complaint to the OIC within 60 days of receiving your answer from the relevant federal institution.
The OIC will assign an Investigator to your case. The Investigator will give you an opportunity to present your complaint and will also obtain information from the federal institution in question. In many cases, the OIC Investigator will attempt to settle the complain by mediation, unless the Investigator decides the institution acted properly. The OIC will report its decision to you.
Appeals
Regardless of whether the OIC agrees with your complaint, you have the right to take your case to the Federal Court of Canada for a review of the federal institution’s original decision.
In addition, the Commissioner may also decide to take a case to the Federal Court if it involves an important point of law. In such cases, the OIC must first receive your approval to do so.
Visit your provincial or territorial Office of the Information and Privacy Commission for more information regarding accessing public records where you live. For more information on accessing federal public records, visit the Office of the Information Commissioner of Canada.
				Was your question answered?
			Public right to access government information
Generally, information produced or gathered by government offices and agencies is accessible to the public. Government information can be valuable for businesses, reporters, and people involved in lawsuits. Some information is easily accessible, such as legislation, Commission Reports, or court cases because it is published and distributed in libraries, government book stores, and online. However, some information is not readily available without requesting it, such as government salaries, internal memos, expenses, and reports on sensitive subject matters.
Generally, there are three main laws that regulate information requests. Municipal and provincial freedom of  information and protection of privacy legislation, regulate information held in municipal and provincial offices. The federal law, called the Access to Information Act, regulates information in federal offices. The procedure for requesting information is different for each level of government.
 
Provincial and municipal information
To request information from a provincial or municipal office, you must first write a letter to the Freedom of Information and Protection of Privacy Coordinator assigned to the government office from which you want to collect the information. To find out the name and mailing address of the Coordinator, you can call the government office directly or the Office of the Information and Privacy Commissioner in your province or territory. In your letter, state that you are making the request under The Freedom of Information and Protection of Privacy Act. The Coordinator has a limited amount of days, usually 30 to 60 days, to respond to your request.
If your request is denied, you can appeal to the Office of the Information and Privacy Commissioner by filling out forms available at that office.
 
Federal information
For federal offices, you have the option of making an informal request or a formal request. These requests are made pursuant to the Access to Information Act.
Informal request
To make an informal request for information, call the office you want information from and ask who in the office you should make the request to. Write a letter to this person requesting the information. If your informal request is denied, you make make a formal request.
Formal request
To make a formal request, you are required to fill out an Access to Information Form. A generic Access to Information Request form, which can be used for most federal offices, is available online from the Government of Canada website. There is no fee. Submit the request  to the Access to Information Coordinator assigned to the federal office or agency you want information from.
Complaints
If your request is denied, or if you have a complaint about the procedure, you can speak with someone at the Office of the Information Commissioner of Canada (OIC) to discuss your options. If you would like to make a complaint, you may do so for reasons, such as:

you believe you were improperly denied access to the information requested;
the request process is taking too long;
the request fees are too high;
you did not receive the information in your official language of choice; or
for other reasonable grounds.

Except in the case where your request is taking too long, you must submit your complaint to the OIC within 60 days of receiving your answer from the relevant federal institution.
The OIC will assign an Investigator to your case. The Investigator will give you an opportunity to present your complaint and will also obtain information from the federal institution in question. In many cases, the OIC Investigator will attempt to settle the complain by mediation, unless the Investigator decides the institution acted properly. The OIC will report its decision to you.
Appeals
Regardless of whether the OIC agrees with your complaint, you have the right to take your case to the Federal Court of Canada for a review of the federal institution’s original decision.
In addition, the Commissioner may also decide to take a case to the Federal Court if it involves an important point of law. In such cases, the OIC must first receive your approval to do so.
Visit your provincial or territorial Office of the Information and Privacy Commission for more information regarding accessing public records where you live. For more information on accessing federal public records, visit the Office of the Information Commissioner of Canada.
",British Columbia
Family Law,Child support,117,"
				While courts in each province have the power to make orders for child support, if parents have separated or divorced and their children live all, or most of the time with one parent, usually the other parent is responsible to pay child support to help provide for the children. The amount of child support will generally depend on how many children are being supported and the amount of money being earned by the parent paying the child support. Payments, from the parent who does not have custody to the parent who does, are usually made through a government office and sometimes directly from the one parent to the other.
In situations of joint, shared, or split custody, the responsibility fo","
				While courts in each province have the power to make orders for child support, if parents have separated or divorced and their children live all, or most of the time with one parent, usually the other parent is responsible to pay child support to help provide for the children. The amount of child support will generally depend on how many children are being supported and the amount of money being earned by the parent paying the child support. Payments, from the parent who does not have custody to the parent who does, are usually made through a government office and sometimes directly from the one parent to the other.
In situations of joint, shared, or split custody, the responsibility for child support may be reduced depending on the extent of parenting assumed by each parent and by their respective incomes.
 
Child support agreements
If parents can agree, they may enter into their own child support agreement, which is often part of a separation agreement. If they cannot come to an agreement, they can ask a judge to determine the amount. Services such as mediation, or government family services may be able to help parents with this process. To ensure that you understand your legal rights and obligations, however, it is advisable to consult with a lawyer before signing a child support agreement.
 
Which children must be supported?
Child support is generally available for any child under the age of majority, which is 18 or 19, depending on the province or territory in which the child lives. In some circumstances, child support does not have to be paid for a child who is 16 or 17 if they have chosen to move out of the family home and no longer live by their parent’s rules. In contrast, child support can be required for children over the age of majority if they are unable to withdraw from parental support, such as children who are still in full-time attendance at school or unable to support themselves because of a disability.
Generally speaking, child support obligations will relate to the birth parents. However it is important to remember that anyone who treats the child of another as their own child may also assume a legal obligation of child support. A typical illustration would be where a man marries a woman who has two young children by a previous marriage. In the course of marriage the man may form a close bond with those children and come to be regarded as a “father” for the purposes of paying child support.
 
How is the amount of child support determined?
In Canada, the provinces and territories share responsibility with the federal government for matters relating to child support. The minimum amount of child support to be paid is based on federal and provincial government Guidelines. The Federal Child Support Guidelines consist of a table that is used to calculate child support payments, which are based on the income of the parent who pays support, and the number of children entitled to support.
Whether the provincial or the federal Guidelines apply, depend on a number of factors, such as if the parents are married. Specifically, depending on where you live,

The federal Divorce Act and the Federal Child Support Guidelines apply to parents who are already divorced or are in the process of getting a divorce.
Provincial and territorial Child Support Guidelines apply to parents who were never married and who both live in Canada, or who are married to each other and are separated, or planning to separate, but have decided not to divorce.

The Federal Child Support Guidelines apply if you are getting divorced and:

you and the other parent both live in Alberta, British Columbia, Newfoundland and Labrador, the Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Saskatchewan or the Yukon, or
you and the other parent live in different provinces, or
one parent lives outside of Canada.

However, under the same situation, if you and the other parent both live in New Brunswick, Manitoba or Quebec, provincial child support Guidelines apply.To find out which Guidelines apply to you, visit the federal Department of Justice.
While the income of the parent who pays support generally determines how much child support is paid, the rules determining income can be complex but are usually calculated on a spouse’s total annual income. There are also issues involving add-ons, such as day-care, and undue hardship that may have to be resolved. Both the judges deciding child support, and the parents who are setting up the agreement on their own, can use the applicable Guidelines when deciding how much support should be paid.
 
Support orders made before the federal 1997 Guidelines
Support orders made before the Federal Child Support Guidelines came into effect are still valid, but either parent can ask the court to have the order changed so that the Guidelines will apply.
 
Tax treatment of child support payments
At one time, the person who paid child support could subtract it from his or her taxable income. The person who received the child support had to add it to his or her taxable income.
The Income Tax Act has been changed and child support that is paid according to a written agreement or a court order made on or after May 1, 1997, is neither deducted from the payer’s income nor added to the recipient’s income.
For people with agreements before May 1, 1997, these tax rules do not apply and are not retroactive. That said, the parents can agree to have the tax rules apply to their existing order if they don’t want to change the amount but simply want the new tax treatment. Also, if they get a new order or agreement changing the amount of child support, then the newer tax rules will apply.
 
When does child support end?
If you have a court order, or have entered into an agreement for child support, the conditions under which the support will end should be specified. For example, support might stop only when a child reaches a certain age or obtains a certain level of education. However, many support orders and agreements do not include a termination clause. Generally, in such cases, support must continue until both parents agree that it will end. If the parents cannot agree on a child support termination date, the matter can be brought to court.
For more information on the federal Guidelines for child support, visit the Department of Justice. For information on child support Guidelines where you live, visit your provincial or territorial Ministry of Justice or Attorney General.
If you require legal assistance with regard to a child support order, you should consult a lawyer.
				Was your question answered?
			While courts in each province have the power to make orders for child support, if parents have separated or divorced and their children live all, or most of the time with one parent, usually the other parent is responsible to pay child support to help provide for the children. The amount of child support will generally depend on how many children are being supported and the amount of money being earned by the parent paying the child support. Payments, from the parent who does not have custody to the parent who does, are usually made through a government office and sometimes directly from the one parent to the other.
In situations of joint, shared, or split custody, the responsibility for child support may be reduced depending on the extent of parenting assumed by each parent and by their respective incomes.
 
Child support agreements
If parents can agree, they may enter into their own child support agreement, which is often part of a separation agreement. If they cannot come to an agreement, they can ask a judge to determine the amount. Services such as mediation, or government family services may be able to help parents with this process. To ensure that you understand your legal rights and obligations, however, it is advisable to consult with a lawyer before signing a child support agreement.
 
Which children must be supported?
Child support is generally available for any child under the age of majority, which is 18 or 19, depending on the province or territory in which the child lives. In some circumstances, child support does not have to be paid for a child who is 16 or 17 if they have chosen to move out of the family home and no longer live by their parent’s rules. In contrast, child support can be required for children over the age of majority if they are unable to withdraw from parental support, such as children who are still in full-time attendance at school or unable to support themselves because of a disability.
Generally speaking, child support obligations will relate to the birth parents. However it is important to remember that anyone who treats the child of another as their own child may also assume a legal obligation of child support. A typical illustration would be where a man marries a woman who has two young children by a previous marriage. In the course of marriage the man may form a close bond with those children and come to be regarded as a “father” for the purposes of paying child support.
 
How is the amount of child support determined?
In Canada, the provinces and territories share responsibility with the federal government for matters relating to child support. The minimum amount of child support to be paid is based on federal and provincial government Guidelines. The Federal Child Support Guidelines consist of a table that is used to calculate child support payments, which are based on the income of the parent who pays support, and the number of children entitled to support.
Whether the provincial or the federal Guidelines apply, depend on a number of factors, such as if the parents are married. Specifically, depending on where you live,

The federal Divorce Act and the Federal Child Support Guidelines apply to parents who are already divorced or are in the process of getting a divorce.
Provincial and territorial Child Support Guidelines apply to parents who were never married and who both live in Canada, or who are married to each other and are separated, or planning to separate, but have decided not to divorce.

The Federal Child Support Guidelines apply if you are getting divorced and:

you and the other parent both live in Alberta, British Columbia, Newfoundland and Labrador, the Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Saskatchewan or the Yukon, or
you and the other parent live in different provinces, or
one parent lives outside of Canada.

However, under the same situation, if you and the other parent both live in New Brunswick, Manitoba or Quebec, provincial child support Guidelines apply.To find out which Guidelines apply to you, visit the federal Department of Justice.
While the income of the parent who pays support generally determines how much child support is paid, the rules determining income can be complex but are usually calculated on a spouse’s total annual income. There are also issues involving add-ons, such as day-care, and undue hardship that may have to be resolved. Both the judges deciding child support, and the parents who are setting up the agreement on their own, can use the applicable Guidelines when deciding how much support should be paid.
 
Support orders made before the federal 1997 Guidelines
Support orders made before the Federal Child Support Guidelines came into effect are still valid, but either parent can ask the court to have the order changed so that the Guidelines will apply.
 
Tax treatment of child support payments
At one time, the person who paid child support could subtract it from his or her taxable income. The person who received the child support had to add it to his or her taxable income.
The Income Tax Act has been changed and child support that is paid according to a written agreement or a court order made on or after May 1, 1997, is neither deducted from the payer’s income nor added to the recipient’s income.
For people with agreements before May 1, 1997, these tax rules do not apply and are not retroactive. That said, the parents can agree to have the tax rules apply to their existing order if they don’t want to change the amount but simply want the new tax treatment. Also, if they get a new order or agreement changing the amount of child support, then the newer tax rules will apply.
 
When does child support end?
If you have a court order, or have entered into an agreement for child support, the conditions under which the support will end should be specified. For example, support might stop only when a child reaches a certain age or obtains a certain level of education. However, many support orders and agreements do not include a termination clause. Generally, in such cases, support must continue until both parents agree that it will end. If the parents cannot agree on a child support termination date, the matter can be brought to court.
For more information on the federal Guidelines for child support, visit the Department of Justice. For information on child support Guidelines where you live, visit your provincial or territorial Ministry of Justice or Attorney General.
If you require legal assistance with regard to a child support order, you should consult a lawyer.
",Mantioba
Government and The Justice System,Social assistance and disability benefits,717,"
				All provinces and territories in Canada maintain social assistance programs that provide financial support to people without an income because they cannot find work, or they are disabled. Known by various names, such as “social assistance”, “income support”, and “income assistance”, the rules for eligibility and the amount given for income support vary widely between each province/territory.
 
Provincial Social Assistance and Disability Support Programs
If you are in temporary financial need, many government programs can provide you with money, and help you find a job. The amount of money you may receive from each program will depend on a number of factors, including: family size, incom","
				All provinces and territories in Canada maintain social assistance programs that provide financial support to people without an income because they cannot find work, or they are disabled. Known by various names, such as “social assistance”, “income support”, and “income assistance”, the rules for eligibility and the amount given for income support vary widely between each province/territory.
 
Provincial Social Assistance and Disability Support Programs
If you are in temporary financial need, many government programs can provide you with money, and help you find a job. The amount of money you may receive from each program will depend on a number of factors, including: family size, income, assets, and housing costs. Beside food and housing costs, you may also be eligible to receive a variety of other benefits such as: prescription drug and dental coverage, eyeglasses, moving or eviction costs, or employment-related costs.  If you cannot work due to an illness or injury, many provinces also offer some form of a Disability Support Program.
For more information or to apply for benefits, contact your local government office.
 
Federal financial assistance programs
The Government of Canada offers a wide range of financial benefit programs for all residents of Canada who qualify. Two of the more common of these programs are:
Employment Insurance (E.I.)  – provides Regular Benefits to individuals who lose their jobs through no fault of their own (for example, due to shortage of work, seasonal or mass lay-offs) and are available for and able to work, but can’t find a job. Visit Service Canada for more information about EI Regular Benefits.
Employment Insurance Sickness Benefits – provides Sickness Benefits to individuals who are unable to work because of sickness, injury or quarantine.
 
Federal Disability Benefit Program
The Canada Pension Plan (CPP) Disability Benefit provides a monthly taxable benefit to contributors who are disabled and to their dependent children.  It is available to people who contributed recently to the Canada Pension Plan while they worked, and then became unable to work at any job on a regular basis because of a “severe” and “prolonged” disability.
Generally, you may be eligible for the CPP Disability Benefit if first: your disability meets the definition under CPP legislation, and second, you have made enough contributions into the CPP while you were working. Eligibility also depends upon whether:

you are under age 65;
you stopped working because of your medical condition; and
when you were working you paid into the CPP for at least four of the last six years, or you paid into the CPP for at least 25 years and made valid contributions to the Plan in three of the last six years.

Visit Service Canada for more information about Employment Insurance Sickness Benefits and Canada Pension Plan Disability Benefits.
				Was your question answered?
			All provinces and territories in Canada maintain social assistance programs that provide financial support to people without an income because they cannot find work, or they are disabled. Known by various names, such as “social assistance”, “income support”, and “income assistance”, the rules for eligibility and the amount given for income support vary widely between each province/territory.
 
Provincial Social Assistance and Disability Support Programs
If you are in temporary financial need, many government programs can provide you with money, and help you find a job. The amount of money you may receive from each program will depend on a number of factors, including: family size, income, assets, and housing costs. Beside food and housing costs, you may also be eligible to receive a variety of other benefits such as: prescription drug and dental coverage, eyeglasses, moving or eviction costs, or employment-related costs.  If you cannot work due to an illness or injury, many provinces also offer some form of a Disability Support Program.
For more information or to apply for benefits, contact your local government office.
 
Federal financial assistance programs
The Government of Canada offers a wide range of financial benefit programs for all residents of Canada who qualify. Two of the more common of these programs are:
Employment Insurance (E.I.)  – provides Regular Benefits to individuals who lose their jobs through no fault of their own (for example, due to shortage of work, seasonal or mass lay-offs) and are available for and able to work, but can’t find a job. Visit Service Canada for more information about EI Regular Benefits.
Employment Insurance Sickness Benefits – provides Sickness Benefits to individuals who are unable to work because of sickness, injury or quarantine.
 
Federal Disability Benefit Program
The Canada Pension Plan (CPP) Disability Benefit provides a monthly taxable benefit to contributors who are disabled and to their dependent children.  It is available to people who contributed recently to the Canada Pension Plan while they worked, and then became unable to work at any job on a regular basis because of a “severe” and “prolonged” disability.
Generally, you may be eligible for the CPP Disability Benefit if first: your disability meets the definition under CPP legislation, and second, you have made enough contributions into the CPP while you were working. Eligibility also depends upon whether:

you are under age 65;
you stopped working because of your medical condition; and
when you were working you paid into the CPP for at least four of the last six years, or you paid into the CPP for at least 25 years and made valid contributions to the Plan in three of the last six years.

Visit Service Canada for more information about Employment Insurance Sickness Benefits and Canada Pension Plan Disability Benefits.
",British Columbia
